ID,Dott,Xavi,Zool,Shum,Jasm,Pene,Macy,Cycl,Tear,Wall,Kins,Razo,Alla,Schm,Arwe,Kels,Rock,Ubun,Pris,Dodg,Malc,Obi,Laya,Meg,Laur,Gunt,Ella,Valk,Bone
Dott,0,0,0,0,2,4,0,0,0,0,0,4,0,0,0,0,1,1,0,6,0,1,0,2,0,0,2,1,0
Xavi,0,0,0,0,1,4,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,3,0,0,1,0
Zool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shum,0,0,0,0,2,3,0,2,0,0,3,1,0,0,1,1,1,0,0,2,2,0,0,2,3,0,0,3,0
Jasm,2,1,0,2,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pene,4,4,0,3,1,0,0,0,10,0,6,0,0,0,4,1,0,1,2,4,1,0,1,0,2,1,3,0,0
Macy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cycl,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0
Tear,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Wall,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0
Kins,0,0,0,3,1,6,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1,0,0,2,0,0,0,0,0
Razo,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0
Alla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Schm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arwe,0,1,0,1,7,4,0,0,0,0,1,0,0,0,0,2,0,2,2,3,0,1,0,1,0,0,2,2,0
Kels,0,0,0,1,0,1,0,0,0,1,0,0,2,0,2,0,0,0,6,0,0,1,0,2,1,0,0,0,0
Rock,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ubun,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,1,1,0
Pris,0,0,0,0,0,2,0,0,0,8,0,0,0,0,2,6,0,0,0,0,0,2,0,2,0,0,0,0,0
Dodg,6,0,0,2,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,0,0,2,0,0
Malc,0,0,0,2,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
Obi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,3,0,0,0,0,0
Laya,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0
Meg,2,2,0,2,0,0,2,2,0,1,2,0,0,0,1,2,1,0,2,8,2,3,0,0,0,0,4,0,0
Laur,0,3,0,3,0,2,0,1,6,0,0,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,0
Gunt,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ella,2,0,0,0,0,3,0,0,0,0,0,2,0,0,2,0,0,1,0,2,0,0,0,4,2,0,0,6,0
Valk,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,0
Bone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
