ID,Carm,Scar,Zool,Dori,Coco,Panc,Wokb,Ring,Max,Flo,Bern,Gimp,Holl,Schm,Bone,Talu,Sash,Mori,Lego,Ocea,Lucy,Ging,Flyn,Phoe,Fay,Tyle,Larr,Fang
Carm,2,18,1,5,1,0,4,1,1,0,1,1,3,0,0,0,5,0,0,13,2,2,0,0,2,1,0,0
Scar,18,0,0,5,3,0,0,0,1,2,0,0,8,0,2,1,37,0,0,0,2,0,0,0,4,7,1,0
Zool,1,0,0,0,1,0,2,0,0,4,1,0,1,0,4,0,2,0,0,2,0,4,0,5,0,4,0,4
Dori,5,5,0,0,0,2,1,0,0,8,3,0,5,1,3,1,2,2,0,5,3,4,0,1,2,0,0,2
Coco,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Panc,0,0,0,2,1,0,2,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Wokb,4,0,2,1,0,2,0,0,1,11,1,0,1,0,0,3,0,2,0,5,0,4,0,4,0,6,0,0
Ring,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
Max,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
Flo,0,2,4,8,1,0,11,0,0,0,4,1,1,0,0,0,0,2,0,2,3,3,8,11,0,0,0,1
Bern,1,0,1,3,0,0,1,0,0,4,0,0,2,0,1,0,0,0,2,0,1,1,0,0,0,0,0,2
Gimp,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Holl,3,8,1,5,0,0,1,2,1,1,2,0,0,5,0,7,0,8,0,2,3,8,0,4,4,0,0,0
Schm,0,0,0,1,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,3,0,0,1,0,0
Bone,0,2,4,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,2,3,0,1,4,0,0
Talu,0,1,0,1,0,0,3,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Sash,5,37,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,3,2
Mori,0,0,0,2,0,8,2,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lego,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocea,13,0,2,5,0,0,5,0,2,2,0,0,2,0,0,0,0,0,0,0,0,8,0,3,0,2,0,0
Lucy,2,2,0,3,0,0,0,1,1,3,1,0,3,1,0,0,1,0,0,0,0,0,2,1,1,0,1,0
Ging,2,0,4,4,1,0,4,0,0,3,1,0,8,0,2,0,0,0,0,8,0,0,3,4,0,1,0,0
Flyn,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,0,2,3,0,0,0,0,0,0
Phoe,0,0,5,1,0,0,4,3,0,11,0,0,4,0,0,0,4,0,0,3,1,4,0,2,1,0,0,0
Fay,2,4,0,2,0,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Tyle,1,7,4,0,0,0,6,0,0,0,0,0,0,1,4,0,1,0,0,2,0,1,0,0,0,0,0,0
Larr,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0
Fang,0,0,4,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
