ID,Amy,Bone,Cycl,Dart,Dott,Eve,Gunt,Jasm,Kels,Laya,Obi,Peet,Pene,Pris,Tear,Tren,Ubun,Vect,Yoda,Zool,Arwe,Glue,Katn,Keit,Kins,Leon,Loki,Meg,Schm,Wall,Alla,Ella,Laur,Valk,Shum,Clou,Prof,Shel,Macy,Mori,Need,Rock,Xavi
Amy,0,0,1,0,0,2,1,2,0,1,0,3,0,1,0,0,1,0,0,0,11,2,3,1,0,1,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bone,0,0,0,0,2,1,0,0,0,1,0,0,0,4,1,0,2,0,0,3,0,1,0,1,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Cycl,1,1,0,0,0,3,0,1,0,0,0,1,4,1,5,2,2,0,0,5,0,2,2,1,2,3,1,0,3,1,2,1,5,0,0,0,0,0,0,0,0,0,0
Dart,0,0,0,0,8,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dott,2,2,0,18,0,3,0,12,1,0,3,0,1,0,0,1,0,1,0,0,5,0,3,1,0,0,1,4,4,2,2,0,0,0,1,0,0,0,0,0,0,0,1
Eve,1,0,2,1,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
Gunt,1,0,0,0,0,1,0,1,1,0,8,0,5,2,0,4,0,1,0,1,1,4,0,7,0,0,0,3,1,0,1,0,2,0,0,0,2,0,0,0,0,0,0
Jasm,4,0,2,3,10,5,1,0,0,1,0,1,1,1,1,0,3,0,0,1,7,3,1,0,1,1,1,2,2,1,2,1,5,0,1,0,1,0,0,0,0,0,0
Kels,1,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0,1,1,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0
Laya,0,1,0,0,0,1,1,1,0,0,2,1,1,0,0,0,2,0,0,3,1,0,2,0,0,13,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
