"","Amy","Bone","Cycl","Dart","Dott","Eve","Gunt","Jasm","Kels","Laya","Obi","Peet","Pene","Pris","Tear","Tren","Ubun","Vect","Yoda","Zool","Arwe","Glue","Katn","Keit","Kins","Leon","Loki","Meg","Schm","Wall","Alla","Ella","Laur","Valk","Shum","Clou","Prof","Shel","Macy","Mori","Need","Rock","Xavi"
"Amy",0,0,2,0,2,3,2,6,1,1,0,6,0,1,1,1,2,0,0,0,30,4,6,2,2,2,4,8,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
"Bone",0,0,1,0,4,1,0,0,0,2,1,0,0,7,1,0,4,0,0,6,0,2,0,1,0,1,2,3,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0
"Cycl",0,0,0,0,0,5,0,3,0,0,0,1,6,2,10,4,3,1,0,11,0,2,3,1,4,4,1,0,6,2,4,3,10,2,0,0,0,0,0,0,0,0,0
"Dart",0,0,0,0,26,2,0,3,1,0,0,0,1,1,1,0,1,1,0,0,0,2,1,0,0,4,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"Dott",0,0,0,0,0,5,0,22,1,0,7,0,2,0,0,2,0,1,1,0,8,0,3,2,0,0,1,9,7,4,4,0,0,0,1,0,0,0,0,0,0,0,1
"Eve",0,0,0,0,0,0,2,5,0,2,8,3,0,0,1,0,1,0,0,0,2,3,3,0,0,0,3,2,0,1,2,13,2,2,0,0,0,0,0,0,0,0,0
"Gunt",0,0,0,0,0,0,0,2,2,1,17,1,10,4,0,8,0,2,0,2,2,6,0,13,0,0,1,7,2,1,1,0,4,0,0,0,2,0,0,0,0,0,0
"Jasm",0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,0,5,0,0,2,15,3,3,0,2,1,1,4,4,1,5,2,9,0,1,0,1,0,0,0,0,0,0
"Kels",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,4,2,1,1,10,0,0,1,2,4,2,4,0,0,2,0,0,2,0,0,0,0,0,0
"Laya",0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,4,0,1,7,2,0,2,0,0,22,0,0,1,9,2,1,1,0,0,0,0,0,0,0,0,0,0
"Obi",0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,4,2,0,2,0,8,0,2,1,1,1,0,0,2,5,2,0,6,0,0,0,0,0,0,0,0,0
"Peet",0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,2,1,7,0,0,0,1,2,7,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0
"Pene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,7,2,2,2,2,2,1,2,2,2,0,2,0,7,0,0,0,11,0,0,0,0,0,0
"Pris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,8,7,9,1,1,10,0,0,0,18,10,12,34,0,0,2,0,0,0,0,0,0,0,0,0
"Tear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,1,0,0,2,0,1,4,0,2,2,2,12,4,0,0,1,0,0,0,0,0,0
"Tren",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,3,0,0,2,2,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0
"Ubun",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,2,0,0,0,0,4,4,5,0,5,4,0,0,0,0,0,0,0,0,0
"Vect",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,13,1,0,0,0,0,0,0,0,0
"Yoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
"Zool",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,10,2,0,1,0,19,3,0,0,0,0,0,0,0,0,0
"Arwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"Glue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
"Keit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,4,0,0,3,1,0,0,0,0,0,0,0,0,0
"Kins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Leon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,4,1,0,0,0,0,0,0,0,0,0
"Meg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,1,0,0,0,0,0,0,0
"Schm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,0,0,0,0,0,0
"Wall",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
"Alla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0
"Laur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Valk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Shum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,1,2
"Clou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Prof",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Need",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xavi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
